name,phone,address,category,place,state
Deep Intensive & Critical Care Center,+91-265-2429127,"  Behind Maharani School;,Near Sursagar Lake, Vadodara-390001",Hospitals,mumbai,maharashtra
Ankur Maternity Hospital,+912652651799,"  Sarang Duplex,Opp Nandigram -2,Near Vmc Ward-4,Sindhwai Mata Road, Vadodara-390004",Hospitals,mumbai,maharashtra
Isha Hospital,+91-265-2314011,"  Behind Atlantis, Opp Vadodara Central, Sarabhai Campus, Sarabhai Main Road, Subhanpura, Vadodara-390007",Hospitals,mumbai,maharashtra
Krishna Nursing Home,+91-265-2776330,"  4-D,Tashkand Society,Nizampura,Near Deluxe Bus Stop, Vadodara-390002",Hospitals     also listed in,mumbai,maharashtra
Barash Hospital,+91-265-2326648,"  X-6/101,Earth Complex,Akshar Chowk,Old Padra Road, Vadodara-390020",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Omkar Orthopaedic Hospital & Ilizarov Centre,+91-265-2524412,"  Krishna Lila, Harni - Warasia Ring Road, Opposite Mangalya Park Society, Vadodara-390006",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Ambar Limaye,+91-265-2431862,"  Mangalwadi Society, R V Desai Road, Vadodara-390001",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Satyam Hospital,+919825685110,"  N H 8, Opposite Geb Sub Station, Chhani Road, Chhani, Near Shree Dudhalesvar Mahadev, Vadodara-391740",Hospitals,mumbai,maharashtra
Sterling Addlife India Limited,+919924449949,"  Near Natubhai Centre Unity Hospital, Race Course (W), Vadodara-390007",Hospitals,mumbai,maharashtra
Dr Mehta Eye Hospital,+91-265-2432312,"  Eye Hospital,Opp Khadi Bhavan,Kothi, Vadodara-390001",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Satyam Hospital,+919428066476,"  8/At/102, Nandanvan Complex, B/H Sussen Tarsali, Namarkarpura Road, Vadodara-390010",Hospitals     also listed in,mumbai,maharashtra
Om Hospital,+919825165045,"  Jaljyot Apartment, New Sama Road, Nizampura, Vadodara-390002",Doctors - Chest Specialists     also listed in,mumbai,maharashtra
Lotus Hospital For Newborn And Children,+912652524700,"  Bilipatra Complex,Harni-Warasia Road,Opp Banker's Hospital, Vadodara-390006",Hospitals,mumbai,maharashtra
Vardhman Ent Hospital,+91-265-2572238,"  272,Ajitnagar Society,G E B School Road,Akota, Vadodara-390020","Doctors - Ear, Nose and Throat (ENT)     also listed in",mumbai,maharashtra
Ashutosh Hospital,+912652332727,"  Near Akshar Chowk,Munj Mahuda,Near Dominos Pizza, Vadodara-390020",Hospitals,mumbai,maharashtra
Misha Maternity Home,+91-265-2510536,"  Champaner Gate,Yakutpura Darban Falia, Vadodara-390005",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Vadodara Institute Of Neuro Science,+919825464324,"  99 Vrml Society,Productivity Road,Opp Haveli Alota, Vadodara-390007",Doctors - Neurosurgeons / Neurologists     also listed in,mumbai,maharashtra
Raj Kidcare Hospital & Newborn Baby Treatment Centre,+91-265-2565350,"  1st Floor,Ajanta Apartment,Rto Main Road,Varasia, Vadodara-390006",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Saikurpa Hospital,+91-265-2651965,"  205 - 206,Silver Coin Apartments,Makarpura Teen Rasta,Opp Bhavan's School, Vadodara-390004",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Dr Raman Handa Eye Hospital,+912652644466,"  B-5,Yogeshwar Park Society,Markapura Road, Vadodara-390009",Hospitals,mumbai,maharashtra
Muslim Medical Centre Charitable Hospital,+91-265-3255956,"  11,Mahadev Nagar,Sco No 1,Opp Mehsana Nagar,Gnbha Ground,Nizampura, Vadodara-390002",Hospitals     also listed in,mumbai,maharashtra
Shree Vijay Vallabh Sarvajanik Hospital,+912652560244,"  Shree Vijay Vallabh Marg,Chhipwad,Raopura, Vadodara-390006",Hospitals,mumbai,maharashtra
Chandan Hospital & Icu,+919898522888,"  Old Navrang Takies Compound,Raopura,Opp Hotel Utsav, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Shirali Hospital,+91-265-6641110,"  First Floor, Dev Commercial Centre, Next To New Alka Restaurent, Near Nathubhai Centre , Vadodara-390007",Hospitals,mumbai,maharashtra
Sakshi Balkoni Hospital,+91-265-2582516,"  1st Floor,Pratapnagar Road,Rushikesh Tower,Daliya Wadi Naka, Geeta Mandir, Vadodara-390004",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Citizen Hospital,+91-265-2521318,"  Ajwa Waghodia Ring Road, Near Dabhoi Dasalad Bhavan, Opposite - Bapod Talav, Waghodia Road, Vadodara-390019",Hospitals,mumbai,maharashtra
Parth Surgical Hospital,+91-265-2563578,"  Udaynagar Soc, Opp Manki Complex, Near Mahavir Hall, Ajwa-Waghodia Road , Vadodara-390019",Hospitals,mumbai,maharashtra
Satya Hospital,+91-265-2657744,"  S 102,Nandanvan Complex,Tarsali,V Sussen Road,Targali, Vadodara-390009",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Shree Maharani Shntidevi Hospital,+91-265-2436644,"  Kismat Jawaharlal Nehru Marg, Vadodara-390001",Hospitals,mumbai,maharashtra
Smt. Malini Kishore Sanghvi Hospital,+912666234440,"  Smt Malini Kishore Sanghvi Hospital & Educational Complaex,Opposite Sumeru Navkar Tirth,Miyagam Karjan, Karjan-391240",Hospitals,mumbai,maharashtra
Misha Maternity Home,+91-265-2510536,"  Champaner Gate,Yakutpura Darban Falia, Vadodara-390005",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Avdhoot Neurosurgical Hospital,+91-265-2324994,"  1/A, Ranjan Society, Near Suvarna Puri Society, Vadodara-390007",Hospitals,mumbai,maharashtra
Kotharu Hospital,+91-265-5544022,"  Golden Nest, Opp Shobhananagar, Vasana Road, Nr Palm View Appt, Vadodara-390000",Hospitals,mumbai,maharashtra
Sankalp Hospital,+91-265-2432727,"  Shree Ramway Plaza, Kharivav Road, Dandia Bazar, Vadodara-390001",Hospitals,mumbai,maharashtra
Shrinath Hospital,+91-265-2397624,"  Anandvan Complex,Gorwa Road,Subhanpura, Vadodara-390023",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Parimal Hospital,+91-265-2410891,"  Pratap Road,Raopura,Nr Bank Of Baroda, Vadodara-390001",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Shree Hospital & Maternity Home,+91-265-2252972,"  Rajratan Complex,Near Raneshwar Tample,Vasna Road, Vadodara-390000",24 Hrs - Maternity Homes     also listed in,mumbai,maharashtra
Isha Hospital,+91-265-2314044,"  B/S Atlantis Mall & Centre Square Mall, Near Ganda Circle, Vadodara-390000",Hospitals,mumbai,maharashtra
Uro - Care Hospital,+91-265-2353049,"  Sainath Marg, Near Vrajwadi Apartment , Vadodara-390007",Hospitals,mumbai,maharashtra
Uma Children Hospital,+91-265-2331296,"  11, Sampatrao Colony, Laxmi Hall Lane, Opposite Circuit House, Jetalpur Road, Alkapuri, Vadodara-390005",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Sameer Hospital,+919898159057,"  New Heaven Enclave, Oppoiste Corporation Office, Panigate Road, Panigate, Vadodara-390019",Doctors - Chest Specialists     also listed in,mumbai,maharashtra
Doshi Orthopaedic Hospital,+91-265-2483516,"  1st Floor,Balaji Shopping Centre,Vip Road,Opp Hdfc, Vadodara-390022",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Janani Maternity Hospital,+91-265-2437793,"  Dandia Bazar,Opp Alankar Apartment, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Manorekha Hospital Products Pvt Ltd,+91-265-2655618,"  Maneja 546\1,Opp Fag,, Vadodara-390014",Hospitals,mumbai,maharashtra
Swami Premdas Jalaram Hospital,+91-265-2570088,"  C - 26, Warasia Ring Road, Premdas Nagar, Kishanwadi, Vadodara-390006",Hospitals,mumbai,maharashtra
Satyam Hospital,+919825685110,"  N H 8, Opposite Geb Sub Station, Chhani Road, Chhani, Near Shree Dudhalesvar Mahadev, Vadodara-391740",Hospitals,mumbai,maharashtra
Dr Bhavin Soni/Shreeji Hospital & Icu,+91-265-2561931,"  A 53, Daji Nagar Society, Harni, Warasia Ring Road, Vadodara-390006",Hospitals     also listed in,mumbai,maharashtra
Vidhi Hospital,+91-265-2395048,"  1/F,Vardhaman Res Cum Plaza,Sbn Pura, Vadodara-390007",Hospitals     also listed in,mumbai,maharashtra
Hrishikesh Hospital,+91-265-2393666,"  Anjanapark Complex,Subhanpura Main Road,Near Vidhyavihar School, Vadodara-390023",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Urjita Medical Nursing Home,+91-265-2482093,"  Veer Nagar Society, Vip Road, Kareli Baug, Vadodara-390018",Hospitals     also listed in,mumbai,maharashtra
Shree Jala Hospital,+91-265-2414683,"  Raopura,B/H Chittekhan Hanuman, Vadodara-390001",Doctors - General Practitioners     also listed in,mumbai,maharashtra
Global Hospital,+91-265-2434026,"  Ovra Marg,Opp Kala Bhavan, Vadodara-390001",Hospitals,mumbai,maharashtra
Misha Maternity Home,+91-265-2510536,"  Champaner Gate,Yakutpura Darban Falia, Vadodara-390005",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Reva Hospital,+91-265-2412400,"  Dandiya Bazar,Jambubet, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Sunderam Hospital,+91-265-2353034,"  9, Anand Society, Behind Express Hotel, R C Dutt Road, Alkapuri, Vadodara-390020",Hospitals,mumbai,maharashtra
Balvantray Mehta Nisargopchar Arogya Bhavan,+912652481623,"  Near Dr Keshav Garden,Karelibaug,Vadodara, Vadodara-390021",Hospitals,mumbai,maharashtra
Sakshi Balkoni Hospital,+91-265-2582516,"  1st Floor,Pratapnagar Road,Rushikesh Tower,Daliya Wadi Naka, Geeta Mandir, Vadodara-390004",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Ayushya Hospital,+919374077038,"  Dorado Complex,Reliance Circle,Manjalpur,Opp Shreyas School, Vadodara-390011",Hospitals     also listed in,mumbai,maharashtra
Spandan Multispeciality Hospital,+91-265-2631300,"  Beside Vmss, Ward No - 4 Office, Sindhwai Mata Road, Manjalpur, Vadodara-390011",Hospitals     also listed in,mumbai,maharashtra
Varun Children Hospital,+91-265-2484103,"  4,Suhas Society,Harni Road,Opp Shastri School, Vadodara-390006",Hospitals     also listed in,mumbai,maharashtra
Bhailal Amin General Hospital,+91-265-2282255,"  Alembic Road, Bhailal Amin Gen Hospital, Bhailal Amin Marg, Gorwa, Vadodara-390003",Hospitals     also listed in,mumbai,maharashtra
Noble Nursing Home,+91-265-2774504,"  Surya Flat 1st Floor Tower A, Opposite Swaminarayan Nagar, Vadodara-390002",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Krishna Hospital,+91-265-2493518,"  Krushnakunj Society,New Vip Road,Opp Saideep Nagar, Vadodara-390022",Doctors - Cardiologists (Heart)     also listed in,mumbai,maharashtra
Motal Sargical Hospital & Adoskopi Centre,+91-265-2324991,"  13-B,Sangita Apartment,Nandvan,Opp:Akota Stadim, Vadodara-390020",Hospitals     also listed in,mumbai,maharashtra
Narhari Hospital,+91-265-2794413,"  University Road, Fatehgunj, Near Sayaji Garden, Vadodara-390002",Hospitals,mumbai,maharashtra
C B Patel Community Health Centre,+91-265-2772291,"  Opp Grdwr,Chani, Vadodara-390001",Hospitals,mumbai,maharashtra
Lalbaug Eye Hospital,+91-265-2642282,"  Manjal Por Naka,Opp Shreyas High School, Vadodara-390011",Hospitals     also listed in,mumbai,maharashtra
Jay Hospital,+91-265-2432854,"  Kasar Falia, Opposite Government Press, Behind Indu Blood Bank, Vadodara-390001",Doctors - Hypnotherapists     also listed in,mumbai,maharashtra
Kalavati Hospital,+91-265-2569505,"  B-187,188,189,Daginagar Co- Op Housing Society, Harni- Warasia Ring Road, Vadodara-390006",Hospitals     also listed in,mumbai,maharashtra
Vraj Hospital,+91-265-6535315,"  2nd Floor, Shree Complex, Shrenik Park Cross Road, Akota, Vadodara-390020",Hospitals,mumbai,maharashtra
Sameer Hospital,+919898159057,"  New Heaven Enclave, Oppoiste Corporation Office, Panigate Road, Panigate, Vadodara-390019",Doctors - Chest Specialists     also listed in,mumbai,maharashtra
Dhashti Eye Hospital & Phaco Centre,+91-265-2652337,"  Sf 7/8, Rutu Kalas Cplx, Manjalpur, Vadodara-390010",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
V R Hospital,+91-265-2354005,"  F-16,Purvi,Samrajya Society No 2, Munjmahuda, Vadodara-390020",Hospitals     also listed in,mumbai,maharashtra
Bittu Hospital,+91-265-2514207,"  Opp Shri Rang Vidyalay, Nalanda-Waghodia Road , Vadodara-390001",Hospitals,mumbai,maharashtra
Ashirvad Womens & Children Hospital Private Limited,+91-265-2635600,"  209,Nr Baroda Dairy 2nd Flr, Silver Coin Complex,Dairy Teen Rasta,Ongc, Vadodara-390009",Hospitals     also listed in,mumbai,maharashtra
Om Hospital,+919825165045,"  Jaljyot Apartment, New Sama Road, Nizampura, Vadodara-390002",Doctors - Chest Specialists     also listed in,mumbai,maharashtra
Anil Goyal Chandan Hospital,+91-265-2434241,"  Pratap Road, M B Chambers, Masjid, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Pujam Hospital,+91-265-2280398,"  Panchvati Cross Road, Gorwa - Refinery Road, Gorwa, Vadodara-390016",Hospitals,mumbai,maharashtra
Sparsh Physio Care,+919979234246,"  Sarjan Complex, Kaladarshan, Waghodia Road, Waghodia, Near Agrawal Stationary, Vadodara-390019",Hospitals     also listed in,mumbai,maharashtra
Vraj Children`s Hospitalz,+91-265-2522360,"  101, Pushti-Smruti Apartment,Waghodia Road,Back Side Of Suryanagar Bus Stand, Vadodara-390019",Hospitals     also listed in,mumbai,maharashtra
Byanal Amin Hospital,+919879546725,"  Gorud Road,Opp Hemabic Chemical, Vadodara-390000",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Indian Hospital Association,+91-265-2356869,"  B / 7, Mujmahuda Shivashish Flats, Mane Teen Rasta, Vadodara-390020",Hospitals,mumbai,maharashtra
Surya Deep Clinic,+91-265-2335929,"  Vishwa Jyoti Ashram, Munjmahuda, Nr Vishwamitri Bridge, Vadodara-390005",Hospitals,mumbai,maharashtra
Ongc Health Centre,+91-265-2641975,"  Mkr Pr, Vadodara-390000",Hospitals,mumbai,maharashtra
Sri Vijay Vallabh Sarvajanik Hospital,+91-265-2560244,"  Chhipwad Vijay Vallabh Hospital, Chhipwad, Vadodara-390001",Hospitals,mumbai,maharashtra
Abhishek Hospital,+91-265-2290102,"  103, Shivalik Complex, near Sitaram Complex, subhanpura, Vadodara-390023",Hospitals,mumbai,maharashtra
Kesar Surgical And Maternity Hospital,+912669233571,"  Opp Bazar Samiti,Gurukrupa Society,Chhota Udaipur Vadodara,Chota Udepur, Bajwa-391165",Hospitals,mumbai,maharashtra
E S I Scheme General Hospital,+91-265-2336422,"  Near Esi Hospital Gotri Road, Vadodara-390000",Hospitals,mumbai,maharashtra
Sujay Urological Hospital,+91-253-2355051,"  15,Vishwas Colony,Behind Alkapuri Petrol Pump,Alkapuri, Vadodara-390005",Hospitals,mumbai,maharashtra
Anant Multispeciality Hospital,+91-265-6553588,"  8/10, Sunrise Complex, Opposite Ambe School, Near Darbar Chowkdi, Manjalpur, Vadodara-390006",Hospitals,mumbai,maharashtra
Eye Care Hospital,+91-265-2488454,"  Subhash Park Shopping Centre,Sangan Rasta,Opp Lal Bhadur Shastri Road,Opp S K Enterprises,Harani Road, Vadodara-390006",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Dr Sheth Hospital,+91-265-2324331,"  A 13, Ashwamegh I, Near Samrajaya Complex, Akota Road, Akota, Near Foddics Restaurant, Vadodara-390020",Hospitals,mumbai,maharashtra
Aatmiya Hospital,+91-265-2654909,"  Silver Coin Complex, Bhavanas Teen Rasta, Makarpura Road, Makarpura, Vadodara-390009",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Dr. Kadam Eye Hospital & Institute /Kadam Eye Hospital & Kadam Eye Lasik Centre,+912652335506,"  No 8,Urmi Society,Productivity Road,Akota, Vadodara-390020",Hospitals,mumbai,maharashtra
Angio Care Hospital,+91-265-2353532,"  Vinraj Plaza, Opp Govt Press Kothi, Vadodara-390001",Hospitals,mumbai,maharashtra
Reva Hospital,+91-265-2412400,"  Dandiya Bazar,Jambubet, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Sagar Hospital,+91-265-2353034,"  Behind Fire Bridge Station,Dandia Bazar, Vadodara-390001",Hospitals,mumbai,maharashtra
Pallav Maternity Hospital,+91-265-2387994,"  First Floor,Anandvan Complex,Rutwik,New Ipcl Road,Subhanpura, Vadodara-390016",Hospitals     also listed in,mumbai,maharashtra
Baroda Hospital / Global Baroda Hospital,+91-265-3300400,"  B-27/49, Anant Apartment, B/S Aradhana Cinema, Tilak Road, Vadodara-390011",Hospitals,mumbai,maharashtra
Rutvij Hospital,+91-265-2326843,"  Patel Plaza, Opposite Harinagar Bus Stop, Gotri Road, Vadodara-390021",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Kaka Hospital,+91-265-2512770,"  Patilpura Complex, Uma Char Rasta, Waghodia Road, Vadodara-390019",Hospitals,mumbai,maharashtra
Amit Modi,+91-265-2483911,"  Narsinhdham Complex,Sc Road ; Harni Road Ameedeep Orthopedic, Vadodara-390022",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Dr C.M Kulkarni's Clinic,+919825028508,"  Shreyas,Dutt Appartment,Near Baroda Dairy, Vadodara-390009",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Metro Hospital & Research Institute,+91-265-2492525,"  Nr Amitnagar Harni Savli Road,Kareli Baug, Vadodara-390018",Hospitals,mumbai,maharashtra
Sangam Hospital,+91-265-2482000,"  Harni Road,Sangam Char Rasta,Kareli Baug,Opp Sangam Bus Stand, Vadodara-390021",Hospitals,mumbai,maharashtra
Samir Hospital,+91-265-2432205,"  Lakdipul,Dandia Bazar,Main Road, Vadodara-390001",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Aatmiya Hospital,+91-265-2654909,"  Silver Coin Complex, Bhavanas Teen Rasta, Makarpura Road, Makarpura, Vadodara-390009",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Miraj Mri Centre,+91-265-2341464,"  Krishna Shanti Society,Mujmahuda Road,Akota,Mujmahuda, Vadodara-390020",Doctors - Radiologists (X-Ray)     also listed in,mumbai,maharashtra
Surabhi Hospital,+91-265-2427257,"  C-6, Honey Complex, Gidc , Vadodara-390001",Hospitals,mumbai,maharashtra
Shree Maharani Shantadevi Hospital,+919824326163,"  Kismat Building,J N Marg, Vadodara-390001",Hospitals,mumbai,maharashtra
Varun Children Hospital,+91-265-2484103,"  4,Suhas Society,Harni Road,Opp Shastri School, Vadodara-390006",Hospitals     also listed in,mumbai,maharashtra
Balaji Hospital,+91-265-2281222,"  400 Tp 2, Opposite Vidya Vikas School, Opposite Cash N Carry, Gorwa, Vadodara-390000",Hospitals,mumbai,maharashtra
Eye Clinic & Retinal Laser Centre,+91-265-2420369,"  Mahajan Lane,Raopura, Vadodara-390001",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Sashwat Hospital,+91-265-2424276,"  Shivdhara, Nr Bombay Mercantile Bank, Kothi - Salatwada Road, Vadodara-390001",Hospitals,mumbai,maharashtra
Amit Deep Hospital,+919825162246,"  Gf-12,Narshidham Complex,Sangam Char Rasta,Harni Road, Vadodara-390018",Hospitals     also listed in,mumbai,maharashtra
S S G Hospitals,+91-265-2410685,"  -, Vadodara-390000",Hospitals,mumbai,maharashtra
Shreeji Hospital,+91-265-2520665,"  101, Vallabh Complex, Dabhoi Rind Road, Parivar Char Rasta, Near Mahesh Complex, Waghodia Road, Vadodara-390019",Hospitals     also listed in,mumbai,maharashtra
Anukruti Hospital,+91-265-2631243,"  A 143/144,Omnagar,Near Gangasagar Complex, Sussen Tarsali Road,, Vadodara-390009",Hospitals     also listed in,mumbai,maharashtra
Shree Vallabh Hospital,+91-265-2510710,"  Beside Lpg Gas Station, parivar Cross Road, Waghodia Dabhoi, Ring Road, waghodia, Vadodara-390019",Hospitals,mumbai,maharashtra
Krishna Ear-Eyes Throat Hospital,+919426040831,"  Ishwar Sadan,Dandia Bazar,Opp Lakdi Pul, Vadodara-390001",Doctors - Dermatologists (Skin and VD) and Cosmetologists     also listed in,mumbai,maharashtra
Amit Orthopedic Hopsital,+919824455237,"  E 13, Natasha Park - 1, Opposite Military Boys Hostel, Nizampura Main Road, Near Chhani Jakat Naka, Nizampura Main Road, Chhani, Vadodara-390002",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Gayatrikrupa Hospital,+91-265-2398483,"  A/2, Sheetal Apartment, Oppsite Panchratna Apartment, Subhanpura Road, Subhanpura, Near Satguru Toys, Vadodara-390023",Hospitals,mumbai,maharashtra
I Care Hospital & Phaco Centre,+91-265-2397198,"  Above Paramount C T Scan Centre, Race Course Circle, Gotri Road, Vadodara-390007",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Ankur Hospital,+91-265-2510419,"  Ankur Children Hospital,Vishal Complex,Ajwa Road,Opp Mahavir Hall, Vadodara-390019",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Saikurpa Hospital,+91-265-2651965,"  205 - 206,Silver Coin Apartments,Makarpura Teen Rasta,Opp Bhavan's School, Vadodara-390004",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Padma Maternity Fertility & Sonography Hospital,+91-265-2637422,"  Samrudhhi Resi Cum Plaza Beside,Makarpura,Bus Depor, Vadodara-390010",Hospitals     also listed in,mumbai,maharashtra
Dr Raman Handa Eye Hospital,+912652644466,"  B-5,Yogeshwar Park Society,Markapura Road, Vadodara-390009",Hospitals,mumbai,maharashtra
Amit Deep Hospital,+919825162246,"  Gf-12,Narshidham Complex,Sangam Char Rasta,Harni Road, Vadodara-390018",Hospitals     also listed in,mumbai,maharashtra
Janani Maternity Hospital,+91-265-2437793,"  Dandia Bazar,Opp Alankar Apartment, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Wayrock Hospital,+91-265-2461455,"  Atmaram Marg, Kareli Baug Road, Kareli Baug, Near Advance Clinik, Near Akshar Mahila B Ed College, Vadodara-390018",Hospitals,mumbai,maharashtra
Chakshu Hospital & Contact Lens Clinic,+91-265-2285799,"  C-11, Bhagyoday Shopping Center, Refinery Road, Vadodara-390016",Hospitals,mumbai,maharashtra
Shah Dr C J,+919825017794,"  11/B, Bina Clinic, Sampatrao Colony, R C Dutt Road, Alkapuri, Vadodara-390005",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Maruti Surgical Hospital,+91-265-2428026,"  1st Floor,Pavandhan Appartment,Main Road,Behind Chistteskhan Hanuman Wadi,Raopura,, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Spandan Hospital,+91-265-2633722,"  389, G I D C Estate, Makarpura, Near Lalbagh Swimming Pool, Vadodara-390010",Hospitals,mumbai,maharashtra
Hospital For Mental Health,+91-265-2461493,"  Mental Hospitalroad, Kareli Baug, Vadodara-390018",Hospitals,mumbai,maharashtra
Patanjali Hospital,+91-265-2394264,"  Pushti Complex, 2nd Floor, Nr Hariom Nagar Bus Stop, Nr Atmajyoti Ashram Road, Ellora Park , Vadodara-390023",Hospitals,mumbai,maharashtra
Sumitra Dental Care & Implant Centre,+919427976364,"  10, Krishnapark Complex, Near Citizen Hospital, Ajwa Waghodia Ring Road, Madhavpura, Near Canara Bank, Vadodara-390019",Hospitals,mumbai,maharashtra
Omkar Hospital,+91-265-2780077,"  202/A,Samraj Building,Fatehgunj,Near Fatehgunj Post Office, Vadodara-390002",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Misha Maternity Home,+91-265-2510536,"  Champaner Gate,Yakutpura Darban Falia, Vadodara-390005",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Esi Hospital,+91-265-2336421,"  Sarabhai Society,Gotri Road, Vadodara-390021",Hospitals,mumbai,maharashtra
Baroda Huminity Centre Charitable Hospital,+91-265-2458004,"  Square Point, Nagarwada, Char Rasta, Vdr, Vadodara-390001",Hospitals,mumbai,maharashtra
Sant Hospital,+91-265-2424901,"  3rdflr,Sagrika Chambers,Char Rasta,Dondia Bazar,Near Sainath Tower, Vadodara-390001",Doctors - Gastroenterologist and Surgeons     also listed in,mumbai,maharashtra
Vedant Hospital,+912652522598,"  No 104,First Floor,Pushti Smriti Apartment,Opposite Of Suryanagar Ground,Waghodia Road, Vadodara-390019",Hospitals,mumbai,maharashtra
Nidaan Children Hospital,+91-265-2644217,"  202, Majalpur Naka, Opp Sreyas School Atria Complex 21, 2nd Floor, Rajendra Society, Vadodara-390011",Hospitals     also listed in,mumbai,maharashtra
Kesar Surgical And Maternity Hospital,+912669233571,"  Opp Bazar Samiti,Gurukrupa Society,Chhota Udaipur Vadodara,Chota Udepur, Bajwa-391165",Hospitals,mumbai,maharashtra
Dr Mehta Eye Hospital,+91-265-2432312,"  Eye Hospital,Opp Khadi Bhavan,Kothi, Vadodara-390001",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Vishwas Hospital & Maternity Home,+912661272620,"  Surajba Complex,Sarkar Falia,Nasvadi Dist Vadodara ,Naswadi, Bajwa-391150",Hospitals,mumbai,maharashtra
Jeevan Jyoti Hospital,+91-265-2292152,"  602,Sahyadri, R C Road,Near Gorwa, Vadodara-390005",Doctors - Dental Surgeons/Dentists     also listed in,mumbai,maharashtra
Kotharu Hospital,+91-265-5544022,"  Golden Nest, Opp Shobhananagar, Vasana Road, Nr Palm View Appt, Vadodara-390000",Hospitals,mumbai,maharashtra
Sanjiv Hospital Medical Stores,+91-265-2783436,"  Contractor`s Bunglow,Opp Railways Station, Vadodara-390002",Hospitals,mumbai,maharashtra
V R Hospital,+91-265-2354005,"  F-16,Purvi,Samrajya Society No 2, Munjmahuda, Vadodara-390020",Hospitals     also listed in,mumbai,maharashtra
Vekariya Gynee Hospital,+918469556646,"  Shakuntal Complex, Kaladarshan Char Rasta, Waghodia Road, Waghodia, Near Agrawal Stationary, Vadodara-390019",Hospitals     also listed in,mumbai,maharashtra
Jeevan Jyoti Hospital,+91-265-2292152,"  602,Sahyadri, R C Road,Near Gorwa, Vadodara-390005",Doctors - Dental Surgeons/Dentists     also listed in,mumbai,maharashtra
Anil Goyal,+91-265-2434241,"  Near Maharasthra Lodge, Pratap Road, Raopura, Mandvi, Vadodara-390001",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Citizen Hospital,+91-265-2521318,"  Ajwa Waghodia Ring Road, Near Dabhoi Dasalad Bhavan, Opposite - Bapod Talav, Waghodia Road, Vadodara-390019",Hospitals,mumbai,maharashtra
The Animal Hospital,+919725777781,"  Shop No 5 & 6, Pratham Plaza, Opp Golds Gym, Near Taj Hotel, Akota Road, Vadodara-363020",Hospitals,mumbai,maharashtra
Sparsh Physio Care,+919979234246,"  Sarjan Complex, Kaladarshan, Waghodia Road, Waghodia, Near Agrawal Stationary, Vadodara-390019",Hospitals     also listed in,mumbai,maharashtra
Amit Deep Hospital,+919825162246,"  Gf-12,Narshidham Complex,Sangam Char Rasta,Harni Road, Vadodara-390018",Hospitals     also listed in,mumbai,maharashtra
